NOMBDEP,FIRST_IDDP,Etario,Cantidad_Esperada,Cantidad_Realizada,Porcentaje,Measure
AMAZONAS,1,Early childhood,20,9,45,Meetings for education
ANCASH,2,Early childhood,6,5,83.3,Meetings for education
APURIMAC,3,Early childhood,17,12,70.6,Meetings for education
AREQUIPA,4,Early childhood,3,3,100,Meetings for education
AYACUCHO,5,Early childhood,18,9,50,Meetings for education
CAJAMARCA,6,Early childhood,5,3,60,Meetings for education
CALLAO,7,Early childhood,7,2,28.6,Meetings for education
CUSCO,8,Early childhood,16,8,50,Meetings for education
HUANCAVELICA,9,Early childhood,18,10,55.6,Meetings for education
HUANUCO,10,Early childhood,3,2,66.7,Meetings for education
ICA,11,Early childhood,20,11,55,Meetings for education
JUNIN,12,Early childhood,13,10,76.9,Meetings for education
LA LIBERTAD,13,Early childhood,16,12,75,Meetings for education
LAMBAYEQUE,14,Early childhood,9,7,77.8,Meetings for education
LIMA,15,Early childhood,7,1,14.3,Meetings for education
LORETO,16,Early childhood,14,12,85.7,Meetings for education
MADRE DE DIOS,17,Early childhood,15,5,33.3,Meetings for education
MOQUEGUA,18,Early childhood,9,6,66.7,Meetings for education
PASCO,19,Early childhood,9,4,44.4,Meetings for education
PIURA,20,Early childhood,8,2,25,Meetings for education
PUNO,21,Early childhood,1,1,100,Meetings for education
SAN MARTIN,22,Early childhood,17,11,64.7,Meetings for education
TACNA,23,Early childhood,10,7,70,Meetings for education
TUMBES,24,Early childhood,1,1,100,Meetings for education
UCAYALI,25,Early childhood,5,3,60,Meetings for education
AMAZONAS,1,Early childhood,1,1,100,Dialogues for education
ANCASH,2,Early childhood,5,2,40,Dialogues for education
APURIMAC,3,Early childhood,7,2,28.6,Dialogues for education
AREQUIPA,4,Early childhood,2,1,50,Dialogues for education
AYACUCHO,5,Early childhood,5,1,20,Dialogues for education
CAJAMARCA,6,Early childhood,2,1,50,Dialogues for education
CALLAO,7,Early childhood,2,2,100,Dialogues for education
CUSCO,8,Early childhood,7,7,100,Dialogues for education
HUANCAVELICA,9,Early childhood,9,6,66.7,Dialogues for education
HUANUCO,10,Early childhood,3,3,100,Dialogues for education
ICA,11,Early childhood,4,1,25,Dialogues for education
JUNIN,12,Early childhood,2,1,50,Dialogues for education
LA LIBERTAD,13,Early childhood,4,3,75,Dialogues for education
LAMBAYEQUE,14,Early childhood,7,5,71.4,Dialogues for education
LIMA,15,Early childhood,1,1,100,Dialogues for education
LORETO,16,Early childhood,2,2,100,Dialogues for education
MADRE DE DIOS,17,Early childhood,6,6,100,Dialogues for education
MOQUEGUA,18,Early childhood,8,5,62.5,Dialogues for education
PASCO,19,Early childhood,8,6,75,Dialogues for education
PIURA,20,Early childhood,4,4,100,Dialogues for education
PUNO,21,Early childhood,4,1,25,Dialogues for education
SAN MARTIN,22,Early childhood,7,1,14.3,Dialogues for education
TACNA,23,Early childhood,6,5,83.3,Dialogues for education
TUMBES,24,Early childhood,9,1,11.1,Dialogues for education
UCAYALI,25,Early childhood,6,3,50,Dialogues for education
AMAZONAS,1,Early childhood,452,257,56.9,Citizen survey
ANCASH,2,Early childhood,113,19,16.8,Citizen survey
APURIMAC,3,Early childhood,12,10,83.3,Citizen survey
AREQUIPA,4,Early childhood,362,92,25.4,Citizen survey
AYACUCHO,5,Early childhood,220,51,23.2,Citizen survey
CAJAMARCA,6,Early childhood,136,90,66.2,Citizen survey
CALLAO,7,Early childhood,85,40,47.1,Citizen survey
CUSCO,8,Early childhood,37,31,83.8,Citizen survey
HUANCAVELICA,9,Early childhood,174,55,31.6,Citizen survey
HUANUCO,10,Early childhood,257,84,32.7,Citizen survey
ICA,11,Early childhood,117,31,26.5,Citizen survey
JUNIN,12,Early childhood,150,83,55.3,Citizen survey
LA LIBERTAD,13,Early childhood,108,47,43.5,Citizen survey
LAMBAYEQUE,14,Early childhood,43,12,27.9,Citizen survey
LIMA,15,Early childhood,499,128,25.7,Citizen survey
LORETO,16,Early childhood,418,182,43.5,Citizen survey
MADRE DE DIOS,17,Early childhood,205,154,75.1,Citizen survey
MOQUEGUA,18,Early childhood,74,55,74.3,Citizen survey
PASCO,19,Early childhood,383,379,99,Citizen survey
PIURA,20,Early childhood,124,106,85.5,Citizen survey
PUNO,21,Early childhood,249,206,82.7,Citizen survey
